userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,32.04536819458008) (175,31.976829528808594) (51,31.805654525756836)* (157,31.769336700439453) (1836,31.647449493408203) (193,31.518014907836914) (1394,31.508024215698242) (1009,31.30048179626465) (993,31.26662826538086) (1795,31.23754119873047) (511,31.23424530029297) (187,31.209806442260742) (1156,30.946598052978516) (1122,30.911243438720703) (1098,30.80465316772461) (155,30.78659439086914) (1395,30.76462745666504) (722,30.73705291748047) (3501,30.72675323486328) (70,30.61557960510254)*
329: (316,33.43629455566406)* (55,33.01837921142578)* (1243,32.80018997192383) (903,32.70766067504883) (1934,32.281009674072266)* (1556,32.17048645019531) (1052,31.950645446777344) (3460,31.891542434692383) (1383,31.792835235595703) (2521,31.622833251953125) (1767,31.613096237182617) (4705,31.59834098815918) (3057,31.565597534179688) (2083,31.55424690246582) (962,31.544513702392578)* (58,31.31427764892578) (58,31.31427764892578) (1375,31.29265594482422) (886,31.28420066833496) (2277,31.173892974853516)
330: (544,32.01331329345703) (1047,31.78636360168457) (2020,31.494962692260742)* (300,31.463233947753906)* (793,31.22348403930664) (325,31.182260513305664)* (951,31.17940330505371) (464,31.022397994995117)* (1246,30.81255531311035) (1673,30.632747650146484) (1453,30.59104347229004)* (288,30.5271053314209) (481,30.513940811157227) (1043,30.392728805541992) (797,30.27377700805664) (2498,30.264888763427734) (486,30.00956916809082) (377,29.994211196899414) (908,29.913022994995117) (318,29.86109161376953)
331: (1034,27.964658737182617) (466,27.860610961914062)* (544,27.849687576293945)* (679,27.698589324951172)* (680,27.603374481201172) (300,27.445541381835938)* (333,27.382659912109375) (686,27.38196563720703) (461,27.082868576049805) (1032,26.98568344116211)* (89,26.924957275390625)* (2020,26.9045467376709) (289,26.882783889770508)* (532,26.850101470947266) (2025,26.79007911682129)* (3404,26.77614974975586)* (464,26.75640106201172) (288,26.7497615814209) (344,26.705337524414062) (1428,26.668745040893555)
332: (67,32.55659103393555) (67,32.55659103393555) (362,32.538719177246094) (1243,32.48616027832031) (298,32.26087188720703) (71,32.144493103027344) (71,32.144493103027344) (89,32.09019088745117) (97,32.007476806640625)* (1052,31.987607955932617) (289,31.91320037841797) (903,31.9062557220459) (293,31.68525505065918) (701,31.41754722595215) (359,31.336153030395508) (972,31.32502555847168) (295,31.315309524536133) (523,31.31398582458496) (680,31.311830520629883) (3110,31.28158950805664)
333: (302,29.88294792175293)* (360,29.848474502563477) (89,29.775630950927734) (349,29.751251220703125)* (333,29.677106857299805)* (300,29.61383819580078)* (340,29.58774757385254) (55,29.31610107421875)* (293,29.22502899169922) (525,29.0491886138916) (908,28.970447540283203) (257,28.913049697875977) (325,28.787296295166016) (646,28.77794647216797) (542,28.66550636291504) (5036,28.614543914794922) (461,28.609031677246094) (466,28.586000442504883)* (889,28.511394500732422) (790,28.409408569335938)
334: (220,32.63809585571289)* (709,32.288330078125) (3333,32.069496154785156) (982,31.706941604614258)* (857,31.699893951416016)* (207,31.67777442932129)* (1513,31.59268569946289)* (428,31.31633758544922) (1645,30.943395614624023) (230,30.864084243774414) (1814,30.857555389404297) (614,30.81367301940918) (7,30.75110626220703) (2637,30.72235107421875) (706,30.700183868408203) (1988,30.65220832824707) (533,30.607397079467773) (412,30.45881462097168) (707,30.37443733215332) (2789,30.2246036529541)
335: (180,31.391080856323242) (157,31.379003524780273) (701,31.304412841796875) (257,31.13298988342285)* (265,31.018613815307617) (302,30.983341217041016) (288,30.98291015625)* (301,30.933507919311523) (1114,30.858226776123047) (903,30.561086654663086) (333,30.552629470825195) (291,30.48676300048828) (306,30.44452476501465) (930,29.913434982299805) (679,29.86786460876465)* (294,29.833492279052734) (299,29.81247329711914) (544,29.782209396362305) (889,29.585779190063477) (727,29.552839279174805)
336: (407,32.86616516113281) (768,30.982585906982422) (2824,30.931001663208008) (4896,30.55503273010254) (1401,30.509504318237305) (9783,30.482208251953125) (1306,30.45319366455078) (2820,30.381221771240234) (2154,30.3607177734375) (2699,30.345684051513672) (512,30.169458389282227)* (777,30.116592407226562) (6439,29.962568283081055) (174,29.962133407592773) (1787,29.893325805664062)* (10033,29.84626579284668) (45,29.71746063232422) (1410,29.71590232849121) (5966,29.627803802490234) (2747,29.5870361328125)
337: (4272,30.505273818969727) (10776,30.45266342163086) (1254,30.282304763793945) (1536,30.020923614501953) (4680,29.8433837890625) (1257,29.687318801879883) (3509,29.536401748657227) (1366,29.4962215423584) (6259,29.399188995361328) (949,29.3901309967041) (947,29.023820877075195) (7922,29.01713752746582) (2763,28.945253372192383) (1259,28.92852783203125) (732,28.76401138305664) (1369,28.711240768432617)* (15455,28.677745819091797) (7044,28.673009872436523) (10689,28.624011993408203) (23,28.619720458984375)
338: (951,32.045570373535156) (959,31.574296951293945) (56,31.341964721679688) (56,31.341964721679688) (77,31.265695571899414) (77,31.265695571899414) (544,31.103271484375) (176,31.085369110107422) (1686,30.985824584960938) (193,30.8670654296875) (1249,30.709566116333008) (679,30.66480255126953) (4460,30.586151123046875) (952,30.57771873474121) (1810,30.49319839477539) (187,30.446672439575195) (377,30.446552276611328) (475,30.425233840942383) (466,30.35521697998047) (2500,30.205942153930664)
339: (701,28.931598663330078)* (333,28.482383728027344)* (466,28.399150848388672)* (349,28.23127555847168)* (291,27.66806983947754)* (525,27.19656753540039) (352,27.194198608398438) (790,27.15134620666504) (344,27.111812591552734) (802,27.107521057128906) (293,27.06005859375)* (386,27.05472755432129)* (314,26.992952346801758) (528,26.90155601501465) (1037,26.89630889892578) (1032,26.873493194580078) (908,26.857311248779297) (680,26.513978958129883) (310,26.472131729125977) (4814,26.455127716064453)
340: (157,35.69156265258789) (329,33.6562385559082) (301,33.27248764038086) (292,33.26551055908203)* (65,33.21499252319336) (65,33.21499252319336) (1244,33.00705337524414) (155,32.78421401977539) (97,32.567378997802734) (331,32.51239776611328) (355,32.45347595214844) (310,32.37561798095703) (538,32.35519027709961) (903,32.307003021240234)* (475,32.301353454589844) (679,32.26991653442383) (220,32.24269104003906) (298,32.23400115966797) (959,32.22294998168945) (544,32.1942138671875)
341: (9783,28.290603637695312) (6409,27.425334930419922) (3694,27.20621681213379) (1970,26.95435905456543) (1401,26.80072593688965) (9446,26.754323959350586) (6043,26.727256774902344) (3810,26.657014846801758) (5061,26.516464233398438) (11783,26.404823303222656) (3720,26.330467224121094) (748,26.288190841674805) (3691,26.250234603881836) (6151,26.138086318969727) (3707,26.107324600219727) (1964,26.05533790588379) (769,26.050662994384766) (6045,25.99578285217285) (2716,25.9851016998291) (1716,25.904075622558594)
342: (88,34.19301986694336)* (203,32.94718933105469) (229,32.89117431640625) (969,32.742916107177734) (709,32.679603576660156) (227,32.18144226074219)* (206,31.91162109375) (228,31.870182037353516) (65,31.860260009765625) (65,31.860260009765625) (173,31.827106475830078)* (715,31.77723503112793) (533,31.66468620300293) (429,31.64433479309082) (234,31.629398345947266) (868,31.604999542236328) (857,31.56385040283203) (2818,31.505142211914062) (207,31.354780197143555)* (511,31.310012817382812)
343: (917,34.6226692199707)* (707,34.622474670410156)* (176,33.91213607788086) (956,33.53608703613281)* (959,33.14442443847656) (710,32.98630905151367) (1274,32.64851379394531) (841,32.64176559448242) (952,32.635379791259766) (868,32.5169677734375) (3470,32.45878982543945)* (1366,32.27691650390625) (1257,32.06422805786133) (2838,32.05664825439453) (954,32.00505065917969) (949,31.843597412109375) (1527,31.838912963867188) (2834,31.799514770507812) (2784,31.797470092773438) (951,31.781129837036133)
344: (6883,30.225255966186523) (9256,30.113079071044922) (59,29.927146911621094) (11489,29.779773712158203) (159,29.453338623046875) (6214,29.380260467529297) (1886,29.10078239440918) (3280,29.035921096801758) (2938,28.816322326660156) (9869,28.80744171142578) (8234,28.67959976196289) (515,28.668067932128906) (852,28.642759323120117) (1075,28.609519958496094) (1213,28.60548210144043) (1718,28.592384338378906) (1897,28.525123596191406) (3893,28.517498016357422) (441,28.390003204345703) (72,28.389476776123047)
345: (1090,32.0211181640625) (432,31.90587615966797) (229,31.76363754272461) (716,31.45482635498047) (969,31.423032760620117)* (1048,31.19422721862793)* (190,31.16355323791504)* (420,31.081104278564453) (210,31.01643943786621) (228,31.002891540527344) (424,30.977680206298828) (757,30.91996192932129)* (225,30.88126564025879) (173,30.818191528320312)* (7324,30.50684928894043) (208,30.49307632446289) (1986,30.40345001220703) (1155,30.358165740966797) (1106,30.276390075683594) (3767,30.255516052246094)
346: (298,33.76301193237305) (227,33.54652404785156) (65,33.12849426269531) (65,33.12849426269531) (1400,33.05225372314453) (716,32.982723236083984) (498,32.88043975830078) (56,32.84115219116211) (56,32.84115219116211) (228,32.804622650146484)* (533,32.73637771606445) (546,32.71419143676758) (209,32.67740249633789)* (220,32.676902770996094) (1513,32.65426254272461) (1246,32.56450271606445) (172,32.43463897705078) (159,32.15446472167969) (689,32.15148162841797) (198,32.13787078857422)
347: (472,30.296316146850586) (6006,29.864614486694336) (1249,29.386493682861328) (1406,29.101266860961914) (2352,29.017221450805664) (1672,28.986202239990234) (498,28.66676902770996) (7947,28.630598068237305) (1351,28.598953247070312) (808,28.545103073120117) (951,28.54183006286621) (497,28.385343551635742) (500,28.25487518310547) (489,28.110332489013672) (1872,28.081045150756836) (507,28.072702407836914) (707,28.061594009399414) (220,28.029268264770508) (706,27.867385864257812) (378,27.78580093383789)
348: (344,32.363773345947266)* (679,32.33370590209961) (1047,31.844545364379883) (681,31.771018981933594)* (324,31.62476921081543) (333,31.563669204711914) (289,31.291698455810547) (300,31.26133155822754) (325,31.252304077148438) (89,31.081300735473633)* (797,31.06990623474121) (793,30.95775604248047) (318,30.89930534362793) (498,30.86734962463379)* (464,30.83124542236328) (1043,30.820213317871094)* (466,30.788246154785156)* (528,30.751245498657227) (2546,30.732666015625) (686,30.527671813964844)
349: (779,32.326839447021484) (768,31.54383087158203) (1541,31.48689079284668) (1678,31.42350196838379) (1196,31.35921859741211) (1191,31.330230712890625) (11852,30.528478622436523) (6850,30.497251510620117) (6837,30.39755630493164) (6014,30.37754249572754) (2192,30.331592559814453) (814,30.246835708618164) (757,30.14461898803711)* (816,30.078121185302734) (4003,29.91836929321289) (1557,29.84490203857422)* (1100,29.813871383666992) (6027,29.714414596557617) (6016,29.651046752929688) (1547,29.543357849121094)
350: (292,29.676321029663086)* (701,29.5078182220459)* (289,29.478666305541992)* (299,29.447101593017578) (326,29.243846893310547) (302,29.236902236938477) (523,29.15369415283203) (288,29.063331604003906)* (1580,28.83257293701172) (318,28.772991180419922) (340,28.58321762084961)* (300,28.464256286621094)* (525,28.38750648498535) (913,28.358400344848633) (646,28.351947784423828)* (294,28.279098510742188) (320,28.268518447875977) (311,28.209657669067383) (360,28.148788452148438) (786,28.09080696105957)
351: (680,30.73511505126953) (498,30.68707847595215)* (691,30.640806198120117) (3404,30.583127975463867)* (1934,30.160438537597656) (466,30.073894500732422) (464,30.054683685302734) (89,29.88728141784668) (972,29.789281845092773) (548,29.687997817993164) (526,29.566007614135742) (289,29.525014877319336) (499,29.521541595458984)* (1246,29.419719696044922) (681,29.317100524902344)* (690,29.290040969848633) (687,29.249330520629883) (528,29.245025634765625) (288,29.225900650024414) (461,29.148204803466797)
352: (157,33.34362030029297) (679,32.77618408203125)* (377,32.63664245605469) (466,32.574092864990234)* (374,32.5379753112793) (292,32.26527786254883)* (461,32.11278533935547) (291,31.966625213623047) (378,31.929889678955078) (230,31.89345359802246) (55,31.829086303710938) (65,31.716537475585938) (65,31.716537475585938) (349,31.713594436645508) (5746,31.639902114868164) (486,31.596101760864258) (325,31.49123191833496) (257,31.453296661376953) (1857,31.340999603271484) (375,31.27168083190918)
353: (468,27.75697135925293)* (317,27.414234161376953) (545,27.40894317626953) (475,27.327905654907227) (1455,26.935386657714844) (1456,26.799142837524414) (314,26.791343688964844)* (1444,26.63543128967285) (531,26.63161277770996) (543,26.59406852722168) (1613,26.57634735107422)* (299,26.532133102416992) (330,26.437116622924805) (907,26.363746643066406) (2179,26.299415588378906) (544,26.271364212036133) (4562,26.251501083374023) (458,26.233156204223633) (301,26.232511520385742) (328,25.950647354125977)
354: (328,29.99857521057129) (306,28.71554946899414) (661,28.460391998291016) (701,28.11237144470215)* (13292,27.958580017089844) (1433,27.896663665771484) (4309,27.763309478759766) (161,27.715543746948242) (1444,27.663183212280273) (907,27.66016960144043) (288,27.42409896850586)* (1449,27.345062255859375) (67,27.332321166992188) (67,27.332321166992188) (292,27.16802406311035)* (1441,27.12705421447754) (1576,27.086654663085938) (1009,27.020278930664062) (7390,27.007692337036133) (308,26.938337326049805)
355: (191,32.53670120239258)* (498,32.025001525878906) (2607,31.87390899658203)* (488,31.27210807800293) (230,31.132680892944336) (371,31.09177017211914)* (691,30.833925247192383) (333,30.768898010253906) (378,30.742338180541992) (209,30.71442222595215) (2978,30.552080154418945) (472,30.54871940612793) (1246,30.4699649810791) (3859,30.41985511779785) (544,30.176454544067383)* (475,30.09683609008789) (5746,30.03924560546875) (493,30.0255126953125) (324,29.929256439208984) (481,29.867441177368164)
356: (2210,31.27718734741211)* (5067,31.227787017822266) (1196,31.077072143554688)* (1185,30.41743278503418) (5961,30.357038497924805) (1868,30.340858459472656) (4550,30.09735107421875) (1035,29.96249008178711) (825,29.647619247436523) (524,29.632837295532227) (5971,29.62624740600586) (4168,29.608030319213867) (2959,29.440006256103516) (816,29.433670043945312) (5308,29.208919525146484) (2617,29.20686912536621) (4387,28.935195922851562) (5149,28.899274826049805) (4166,28.878787994384766) (1100,28.82816505432129)
357: (84,31.739971160888672)* (757,31.298954010009766) (3411,31.167015075683594) (7324,30.88363265991211) (703,30.831552505493164)* (2535,30.624576568603516) (56,30.62275505065918) (56,30.62275505065918) (1398,30.541465759277344) (2582,30.43911361694336) (1075,30.43081283569336) (1738,30.37835121154785) (64,29.728126525878906) (64,29.728126525878906) (70,29.61519432067871) (2824,29.5534725189209) (1394,29.544532775878906) (3738,29.516489028930664) (1101,29.35380744934082) (432,29.298160552978516)
358: (107,32.9457893371582) (757,32.82423782348633) (748,32.49267578125) (1745,32.30629348754883) (2716,32.077430725097656) (2605,31.99757194519043)* (56,31.847034454345703)* (56,31.847034454345703)* (238,31.843626022338867)* (1098,31.6695499420166) (444,31.650346755981445) (4029,31.623493194580078) (2811,31.614290237426758) (703,31.561311721801758) (1983,31.43919563293457) (1099,31.423931121826172) (749,31.35508918762207) (162,31.338699340820312)* (418,31.305885314941406)* (6409,31.1710147857666)
359: (1008,32.08597183227539) (997,31.616762161254883) (3768,31.593116760253906) (1686,31.49729347229004) (1064,31.353113174438477) (3920,30.99895477294922) (1014,30.96291732788086) (1892,30.901350021362305) (91,30.60508918762207) (874,30.4867000579834) (193,30.32660484313965) (3909,30.313570022583008) (2936,30.249853134155273)* (1019,30.15962791442871) (1464,29.775676727294922)* (5256,29.75296401977539)* (9271,29.711729049682617) (4976,29.517791748046875) (1886,29.482303619384766)* (4031,29.47713851928711)
360: (393,28.06434440612793) (2659,27.604427337646484) (5256,27.551345825195312) (2086,27.507102966308594) (2101,27.460533142089844) (369,27.395610809326172) (5983,27.36952781677246) (409,27.13833236694336) (2586,27.019750595092773) (2512,26.938940048217773) (374,26.832244873046875) (6060,26.83020782470703) (9585,26.819169998168945) (2497,26.7291259765625) (367,26.70268440246582) (407,26.5618953704834) (2107,26.55742835998535) (963,26.524953842163086) (5089,26.478252410888672) (399,26.46966552734375)
361: (701,30.67421531677246)* (301,30.194320678710938) (310,30.117015838623047)* (288,29.972332000732422)* (311,29.91396713256836) (306,29.614253997802734) (326,29.43939971923828) (329,29.438936233520508) (300,29.302980422973633) (465,29.174474716186523) (333,29.168556213378906)* (455,29.168399810791016) (293,28.980182647705078)* (2523,28.921871185302734) (456,28.765710830688477) (314,28.4603328704834) (265,28.321001052856445) (161,28.2225284576416) (332,28.17584228515625) (461,28.131994247436523)*
362: (498,32.944820404052734)* (1045,32.82064437866211) (1047,31.9657039642334)* (439,31.78894805908203)* (470,31.767269134521484) (6121,31.72608757019043)* (209,31.388381958007812) (424,31.235469818115234) (1041,31.18572998046875) (1043,30.990501403808594) (1672,30.96346092224121) (982,30.90369415283203) (2661,30.900985717773438) (1185,30.897235870361328) (714,30.883119583129883)* (4850,30.72856903076172) (5630,30.685949325561523) (708,30.643667221069336) (5226,30.554922103881836) (683,30.522167205810547)
363: (1116,32.76508712768555) (1044,32.23989486694336) (818,31.91370964050293) (3032,31.857624053955078) (220,31.45809555053711) (1873,31.393945693969727) (412,31.386314392089844) (517,31.33940315246582) (537,31.30069923400879) (840,31.158849716186523) (2352,31.12740135192871) (2850,30.996370315551758) (1974,30.92450714111328) (3428,30.80548667907715) (813,30.775419235229492) (510,30.739274978637695) (198,30.66571617126465) (6120,30.64673614501953) (500,30.626920700073242) (507,30.613399505615234)
364: (231,33.29022979736328) (196,33.24988555908203) (1504,33.07884979248047) (4079,32.95893096923828) (199,32.93801498413086) (609,32.872318267822266) (216,32.54939270019531) (197,32.33467102050781) (434,32.26026153564453) (602,32.232398986816406) (5414,32.102840423583984) (622,32.06357955932617) (7219,32.050418853759766) (227,32.045616149902344)* (858,32.04056930541992) (163,32.01985168457031)* (416,31.809566497802734) (219,31.791065216064453) (863,31.66744613647461) (629,31.626943588256836)
365: (6159,32.42001724243164)* (2161,31.96586799621582) (13454,31.750017166137695) (11128,31.676456451416016) (103,31.585365295410156) (616,30.879941940307617) (1731,30.720500946044922) (57,30.68634796142578) (2146,30.67877960205078) (748,30.6602840423584) (17962,30.64101791381836) (137,30.45780372619629) (3417,30.3082275390625) (756,30.25139808654785) (1747,30.19122886657715) (1801,30.109384536743164) (603,30.02141571044922) (3520,29.97527313232422) (2605,29.96890640258789) (11052,29.96699333190918)
366: (632,32.64418411254883) (2542,32.228389739990234) (6151,32.19166946411133) (3411,31.97081184387207) (1957,31.737455368041992) (162,31.68912124633789) (444,31.68795394897461) (12051,31.583322525024414) (3417,31.405004501342773) (621,31.357057571411133) (3707,31.322280883789062) (1504,31.02072525024414) (602,31.014062881469727) (3686,30.98821449279785) (2605,30.891389846801758) (231,30.816011428833008) (6409,30.754343032836914) (6295,30.67302703857422) (238,30.63850212097168) (6824,30.586978912353516)
367: (1186,32.905765533447266) (4218,31.233600616455078) (230,31.09856414794922) (1406,31.04783821105957) (808,30.909473419189453) (1650,30.639293670654297) (383,30.60422134399414) (403,30.496814727783203) (1866,30.373579025268555) (6453,30.219505310058594) (1246,29.874258041381836)* (3333,29.706165313720703) (497,29.70169448852539) (234,29.664077758789062) (1672,29.649429321289062) (537,29.63641929626465) (1046,29.599260330200195) (3734,29.525318145751953) (840,29.51137351989746) (220,29.448606491088867)
368: (612,32.07516860961914) (3884,31.757761001586914)* (4366,31.601940155029297) (59,31.45418930053711) (620,31.364004135131836) (1718,31.061805725097656) (429,30.802513122558594) (4067,30.647178649902344) (2542,30.494478225708008) (6204,30.43035125732422)* (3893,30.343082427978516) (3201,30.322904586791992) (7649,30.250011444091797) (2531,30.191335678100586) (18376,30.179887771606445) (1213,30.140350341796875) (715,30.123464584350586) (18372,30.112804412841797) (441,30.07016944885254) (159,30.04113006591797)
369: (217,32.50125503540039)* (1239,31.435449600219727) (2608,31.12311553955078) (170,30.872268676757812) (228,30.75921630859375) (199,30.69872283935547)* (182,30.690475463867188) (14352,30.68424415588379) (416,30.660518646240234) (1378,30.610225677490234) (154,30.581762313842773) (2524,30.536666870117188) (898,30.503801345825195) (4435,30.5032958984375) (2591,30.49064826965332) (1375,30.442354202270508)* (3797,30.418947219848633) (604,30.367828369140625) (1632,30.328702926635742) (431,30.25705909729004)
370: (229,34.22433090209961) (190,34.09821701049805) (182,33.66005325317383) (316,33.54396057128906) (159,33.14640426635742) (982,33.1130256652832) (173,33.112327575683594)* (67,32.995811462402344) (67,32.995811462402344) (154,32.96824264526367)* (227,32.95022964477539) (230,32.93054962158203) (298,32.92963790893555) (511,32.8481559753418)* (961,32.769500732421875) (228,32.711875915527344) (1239,32.693153381347656) (166,32.485233306884766) (436,32.44788360595703) (220,32.42585754394531)
371: (2735,31.009071350097656) (2747,30.603784561157227) (7130,30.362531661987305) (2835,30.171031951904297) (1786,29.966699600219727) (3047,29.78838539123535) (1713,29.633056640625)* (187,29.62179946899414) (986,29.595252990722656) (1072,29.4968318939209)* (1791,29.384862899780273) (4295,29.119373321533203) (6267,29.090288162231445) (30,29.059993743896484) (70,29.024198532104492) (3046,29.002046585083008) (7,28.845901489257812) (190,28.827157974243164) (1061,28.816396713256836) (1099,28.697784423828125)
372: (377,33.60386657714844)* (472,32.98182678222656) (1797,32.93813705444336) (2941,32.538726806640625) (504,32.410972595214844) (2794,32.29951858520508)* (1044,31.939767837524414) (378,31.91658592224121) (497,31.666139602661133) (486,31.513822555541992) (1116,31.445714950561523) (2062,31.42243766784668) (1672,31.403831481933594) (10069,31.24180793762207) (1859,31.188486099243164) (4179,31.102331161499023) (3427,31.088048934936523) (965,31.005826950073242) (518,31.004846572875977) (930,30.90818977355957)
375: (157,34.407894134521484) (55,34.16136169433594) (292,34.052024841308594)* (300,33.603755950927734)* (1243,33.60254669189453) (298,33.47012710571289) (291,33.37295913696289)* (466,33.32628631591797) (701,33.251766204833984) (333,33.241756439208984) (306,33.212894439697266)* (257,33.08169174194336) (544,33.01165771484375) (323,32.84785461425781) (906,32.788822174072266) (461,32.756832122802734) (349,32.67241287231445) (265,32.66032028198242) (525,32.51327896118164) (301,32.44266891479492)
376: (1338,29.70195770263672) (1374,29.28577995300293) (949,29.12729263305664) (4605,28.60479164123535) (1354,28.59339141845703) (920,28.542211532592773) (2009,28.521997451782227) (942,28.49256706237793) (1370,28.409086227416992) (1367,28.39522361755371) (1371,28.391427993774414) (928,28.333585739135742) (1992,28.333091735839844) (1346,28.329904556274414) (1341,28.293045043945312) (936,28.291799545288086) (1363,28.24081039428711) (1373,28.22797966003418) (1365,28.186017990112305) (2013,28.18170166015625)
377: (841,33.441890716552734)* (949,32.92062759399414) (920,32.6161994934082)* (707,31.968103408813477) (370,31.824491500854492) (12,31.709049224853516) (812,31.531030654907227)* (4605,31.370019912719727) (1358,31.256013870239258) (1274,31.200090408325195) (843,31.138080596923828) (2975,31.10116195678711) (2970,31.005578994750977) (2966,30.949121475219727) (198,30.87197494506836) (1261,30.76186180114746) (4271,30.75749397277832) (2963,30.74468231201172) (2370,30.65418815612793) (947,30.542882919311523)
378: (951,36.02070999145508)* (1464,35.27315139770508) (192,34.992706298828125) (1122,34.93355941772461)* (975,34.90474319458008) (728,34.44169235229492) (868,34.422813415527344) (1415,34.316200256347656)* (511,34.30766296386719) (712,34.24885940551758) (4130,34.23430252075195) (733,34.20554733276367) (2861,34.17878341674805) (2463,34.14107131958008) (245,34.10540771484375) (717,34.045894622802734) (77,34.042701721191406)* (77,34.042701721191406)* (734,34.040306091308594) (250,33.96904754638672)
380: (2018,27.48446273803711) (326,27.109966278076172)* (295,26.967891693115234)* (310,26.849363327026367) (906,26.723453521728516) (288,26.573034286499023)* (302,26.563825607299805) (55,26.555194854736328) (1451,26.38311767578125) (701,26.37038230895996) (354,26.30904769897461) (485,26.298473358154297) (290,26.297744750976562) (535,26.280427932739258) (4566,26.225406646728516) (312,26.183046340942383) (3491,26.181737899780273) (1937,26.157733917236328)* (289,26.140743255615234)* (306,26.105873107910156)
382: (1620,30.3260555267334) (1402,29.330110549926758) (2919,29.019899368286133) (1943,28.903438568115234) (267,28.311830520629883) (1640,28.278629302978516) (4586,28.087060928344727) (3132,28.05936622619629) (2921,28.05683135986328) (8176,28.020559310913086) (1961,27.971817016601562) (249,27.89910125732422) (1952,27.865373611450195) (8173,27.861461639404297) (278,27.84851837158203) (527,27.816471099853516) (8186,27.726123809814453) (2923,27.65323257446289)* (1641,27.64021110534668) (8180,27.610309600830078)
383: (546,32.4182243347168)* (298,32.23472595214844) (89,32.21016311645508) (228,32.05118942260742) (903,31.963266372680664) (173,31.9063663482666) (316,31.50711441040039) (207,31.338043212890625) (1934,31.318864822387695) (1048,31.247100830078125) (3057,31.226627349853516) (430,31.219879150390625) (1400,31.214874267578125) (689,31.19631576538086) (300,31.192794799804688) (331,31.126829147338867) (289,31.095722198486328) (67,31.08293914794922) (67,31.08293914794922) (204,31.05177879333496)
385: (498,32.25556182861328)* (333,31.97937774658203)* (377,31.442354202270508)* (289,31.00688934326172)* (691,30.81633949279785) (681,30.690855026245117)* (1377,30.22928237915039)* (1047,30.115585327148438) (306,30.07803726196289)* (481,30.0526180267334) (295,30.01030731201172) (5746,29.993793487548828) (378,29.986385345458984) (190,29.962085723876953)* (2020,29.93541717529297) (209,29.839570999145508) (403,29.724672317504883) (540,29.67327880859375) (538,29.667173385620117) (701,29.451698303222656)
386: (12909,30.423246383666992) (7947,29.1376895904541) (230,28.995027542114258)* (501,28.977649688720703) (1249,28.955312728881836) (4336,28.77753448486328) (2941,28.729225158691406) (2343,28.662973403930664) (2352,28.610767364501953) (737,28.59938621520996) (3427,28.56673240661621) (706,28.178924560546875) (13637,28.174428939819336) (1854,28.097043991088867) (9737,28.09428596496582) (3769,28.037269592285156) (377,28.023290634155273) (951,27.977445602416992) (1122,27.966327667236328) (11499,27.960256576538086)
387: (331,27.96489715576172) (1613,27.801143646240234)* (3459,27.781766891479492) (3716,27.511089324951172) (547,27.380937576293945) (2179,27.241046905517578) (3317,27.18426513671875) (1486,27.046031951904297) (3318,26.84385871887207) (527,26.789222717285156) (2135,26.68874740600586) (2132,26.525142669677734) (317,26.428672790527344) (913,26.424589157104492) (6590,26.360876083374023) (485,26.31071662902832) (8188,26.255064010620117) (1935,26.09780502319336) (475,26.081436157226562) (1936,26.075084686279297)
388: (2446,31.99247169494629)* (959,30.680517196655273) (3934,30.62265396118164) (198,30.45444679260254) (923,29.876670837402344) (7906,29.815210342407227) (2381,29.788597106933594) (503,29.739723205566406) (707,29.727067947387695) (978,29.71503257751465) (1162,29.67674446105957) (1044,29.660701751708984) (8422,29.347091674804688) (16975,29.34209442138672) (16976,29.304950714111328) (5605,29.303922653198242) (2379,29.220590591430664) (16974,29.205820083618164) (3901,29.194448471069336) (7100,29.166372299194336)
390: (295,29.271160125732422)* (349,28.285255432128906) (161,28.2193660736084) (525,28.058135986328125) (544,27.84292221069336) (1037,27.76605987548828)* (328,27.742361068725586)* (790,27.65601921081543) (461,27.48099708557129)* (257,27.382366180419922)* (352,27.338577270507812) (318,27.218090057373047) (523,27.124879837036133)* (2548,26.924589157104492) (1452,26.832914352416992) (531,26.807859420776367) (325,26.797470092773438) (157,26.751258850097656) (972,26.68541145324707) (320,26.643890380859375)
391: (1863,28.658458709716797) (536,28.548938751220703) (1585,27.89581298828125) (814,27.752660751342773) (497,27.35115623474121) (5972,27.30097198486328) (488,27.091827392578125)* (6201,27.03287124633789) (500,26.860904693603516) (808,26.776514053344727) (209,26.586536407470703) (9961,26.57789421081543) (357,26.445819854736328) (1200,26.33632469177246) (726,26.21310043334961) (537,26.179521560668945) (371,26.168331146240234) (7448,26.15329933166504) (481,26.049509048461914) (45,26.026241302490234)
392: (1243,33.821712493896484) (291,33.11299133300781)* (298,33.054176330566406) (67,32.87156677246094)* (67,32.87156677246094)* (289,32.71696853637695)* (300,32.44734191894531) (97,32.16944885253906) (344,32.09568786621094)* (378,32.04474639892578)* (288,32.0180549621582)* (1052,31.984403610229492) (55,31.922653198242188) (295,31.91031265258789) (680,31.8150691986084) (701,31.625545501708984) (498,31.550180435180664)* (2130,31.485483169555664) (190,31.44297981262207) (301,31.40070915222168)
