userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
2: (1001,12.378839492797852) (187,12.286238670349121) (51,11.998109817504883)* (3992,11.952180862426758) (511,11.848634719848633) (238,11.838972091674805) (159,11.793747901916504) (1824,11.486345291137695) (1073,11.407682418823242) (1394,11.10818099975586) (1098,11.062036514282227) (70,11.033012390136719)* (1892,10.767091751098633) (1836,10.699735641479492) (183,10.617656707763672) (1713,10.327179908752441) (157,10.278861999511719) (1072,10.229265213012695) (57,10.15085220336914)* (59,10.120065689086914)*
334: (220,13.71159839630127)* (1513,13.613463401794434)* (982,13.53251838684082)* (533,12.870328903198242) (4793,12.558608055114746) (706,12.490344047546387) (614,12.438626289367676) (436,12.278252601623535) (1239,12.09793758392334)* (8710,11.84770393371582) (854,11.780364036560059)* (2789,11.765889167785645) (207,11.74994945526123)* (707,11.739420890808105) (857,11.722609519958496)* (709,11.472249031066895) (1249,11.346147537231445) (4821,11.259363174438477) (428,11.129852294921875) (228,11.09311580657959)
335: (701,11.433550834655762) (157,10.810091018676758) (288,10.787345886230469)* (333,10.455402374267578) (302,10.406312942504883) (972,10.210189819335938) (306,10.146369934082031) (265,9.950157165527344) (903,9.94043254852295) (257,9.914904594421387)* (679,9.85365104675293)* (291,9.639281272888184) (316,9.520644187927246)* (310,9.492986679077148) (299,9.462667465209961) (2523,9.433670997619629) (1243,9.416740417480469) (802,9.37462043762207) (320,9.37436580657959) (523,9.327180862426758)
336: (407,12.372688293457031) (154,11.315815925598145) (56,11.29351806640625) (56,11.29351806640625) (418,11.264931678771973) (170,10.937284469604492) (64,10.502605438232422)* (64,10.502605438232422)* (755,10.284643173217773)* (88,10.280379295349121) (1705,10.254146575927734) (159,10.2208890914917) (190,10.216514587402344)* (2500,10.215169906616211) (1104,10.133668899536133) (632,10.122528076171875) (1983,10.10326862335205) (233,10.093003273010254) (234,9.893621444702148) (512,9.766976356506348)*
337: (1353,14.460602760314941) (7044,14.291764259338379) (10776,14.13906192779541) (2784,14.073515892028809) (1536,14.036924362182617) (732,13.986385345458984) (6268,13.894096374511719) (6270,13.879369735717773) (6278,13.811019897460938) (6272,13.790857315063477) (6271,13.746698379516602) (6281,13.74411392211914) (6283,13.731258392333984) (6266,13.729524612426758) (1369,13.720661163330078)* (6279,13.692934036254883) (3509,13.645845413208008) (1366,13.49881649017334) (2746,13.17727279663086) (1257,13.133883476257324)
338: (1810,10.127053260803223) (951,9.856878280639648) (952,9.626289367675781) (1249,9.177953720092773) (959,9.1760835647583) (2790,8.703329086303711) (4460,8.48361587524414) (2784,8.40987491607666) (187,8.325067520141602) (10509,8.284272193908691) (234,8.177406311035156) (1001,8.173213005065918) (706,8.118755340576172) (2346,8.097392082214355) (5165,8.009971618652344) (176,8.004364013671875) (724,7.995481967926025) (4165,7.953413486480713) (3083,7.9171295166015625) (10943,7.90989351272583)
339: (1032,8.733510971069336) (701,8.562726020812988)* (802,8.106087684631348) (1452,8.01758861541748) (333,7.9662322998046875)* (466,7.950159072875977)* (2020,7.86356782913208)* (790,7.600701808929443) (349,7.526632785797119)* (908,7.413215637207031) (646,7.350399494171143) (797,7.340923309326172) (314,7.222620964050293) (528,7.20601224899292) (458,7.203917980194092) (525,7.194509029388428) (291,7.121335029602051)* (344,7.092455863952637) (464,7.0320587158203125) (1042,7.030416965484619)
340: (314,8.712719917297363) (475,8.69587516784668) (301,8.452062606811523) (329,8.287487030029297) (1032,8.273506164550781) (310,8.108036041259766) (292,8.029601097106934)* (538,8.027266502380371) (534,8.02399730682373)* (157,7.886316299438477) (349,7.831933498382568) (328,7.795485496520996)* (913,7.743836402893066) (903,7.471330642700195)* (220,7.424479961395264) (291,7.399600505828857) (331,7.281898021697998) (161,7.086287021636963) (299,7.063131809234619)* (65,7.008606433868408)
341: (3511,14.456871032714844) (5295,14.363310813903809) (6825,14.161972045898438) (6826,14.156898498535156) (6832,14.138626098632812) (879,14.1233491897583) (6834,14.075300216674805) (748,14.015786170959473) (6151,13.903874397277832) (2475,13.7249174118042) (10672,13.668350219726562) (6161,13.396134376525879) (1221,13.342403411865234) (2470,13.339948654174805) (1229,13.316961288452148) (6162,13.26521110534668) (6166,13.263072967529297) (6171,13.260711669921875) (6174,13.253470420837402) (6170,13.247353553771973)
342: (227,12.831186294555664)* (56,12.49671745300293) (56,12.49671745300293) (88,12.263574600219727)* (511,12.241958618164062) (533,12.047443389892578) (65,11.978071212768555) (65,11.978071212768555) (229,11.91789436340332) (228,11.81475830078125) (429,11.60614013671875) (599,11.583888053894043)* (203,11.256508827209473) (173,11.209099769592285)* (969,11.18848991394043) (1098,10.839998245239258) (199,10.821625709533691) (207,10.731464385986328)* (206,10.463793754577637) (238,10.461650848388672)
343: (707,14.525099754333496)* (917,13.628944396972656)* (163,13.244612693786621) (176,12.802083015441895) (198,12.757577896118164) (868,12.449822425842285) (959,12.315557479858398) (1513,12.162986755371094) (952,12.11879825592041) (220,12.019357681274414) (1351,12.018211364746094) (951,11.822811126708984) (3470,11.615482330322266)* (2834,11.357702255249023) (607,11.303628921508789) (1274,11.187203407287598) (1803,11.17310619354248) (1415,11.099159240722656) (2595,11.088040351867676) (2797,11.0665864944458)
344: (858,14.315240859985352) (3681,14.079765319824219) (961,14.032044410705566)* (81,13.570943832397461) (3280,13.548676490783691) (2638,12.840073585510254) (59,12.583741188049316) (53,12.545406341552734) (53,12.545406341552734) (3884,12.495596885681152) (1062,12.424551963806152) (6221,12.238930702209473) (3890,12.227591514587402) (9630,12.220943450927734) (418,12.152016639709473) (6214,12.080292701721191) (238,12.062820434570312) (13170,11.96043586730957) (4451,11.942889213562012) (3110,11.926755905151367)
345: (170,12.148035049438477) (1090,12.042091369628906) (432,11.872541427612305) (225,11.824321746826172) (969,11.720006942749023)* (228,11.608501434326172) (229,11.163705825805664) (3030,11.055230140686035) (1048,10.869158744812012)* (1155,10.734086036682129) (210,10.669411659240723) (1106,10.641619682312012) (190,10.618767738342285)* (2815,10.580491065979004) (443,10.524456024169922) (703,10.175432205200195)* (424,10.149142265319824) (2821,10.116154670715332) (533,10.07150936126709) (420,10.05565357208252)
346: (533,12.522676467895508) (228,12.31662654876709)* (227,11.223637580871582) (65,11.219033241271973) (65,11.219033241271973) (220,11.093622207641602) (225,10.666117668151855) (159,10.593201637268066) (716,9.848686218261719) (1400,9.834321975708008) (154,9.744060516357422) (1239,9.736088752746582) (1246,9.681831359863281) (436,9.560009956359863) (1513,9.550554275512695) (298,9.475960731506348) (182,9.458183288574219) (226,9.409225463867188) (1376,9.357606887817383) (511,9.352506637573242)*
347: (198,13.712206840515137) (497,13.366109848022461) (808,12.635079383850098) (1179,12.600225448608398) (1672,12.548233032226562) (1406,12.19659423828125) (490,11.899943351745605) (489,11.885482788085938) (6257,11.718809127807617) (1091,11.65184497833252) (536,11.485898971557617) (3946,11.473454475402832) (3240,11.32408618927002) (1974,11.314096450805664) (500,11.242690086364746) (1104,11.136807441711426)* (220,10.766910552978516) (519,10.736734390258789) (501,10.730562210083008) (1186,10.697664260864258)
348: (470,10.393255233764648) (691,10.296945571899414)* (1047,10.139665603637695) (324,10.112190246582031) (344,9.831005096435547)* (1043,9.819498062133789)* (464,9.816688537597656) (681,9.2970552444458)* (498,9.224903106689453)* (333,9.208181381225586) (693,9.108959197998047) (466,8.966320991516113)* (793,8.923112869262695) (1246,8.898733139038086) (687,8.840133666992188) (300,8.748641014099121) (679,8.688209533691406) (680,8.576108932495117) (325,8.569826126098633) (342,8.559228897094727)
349: (768,11.812309265136719) (779,11.797085762023926) (1191,11.29624080657959) (1678,10.790849685668945) (4003,10.637688636779785) (1552,10.525367736816406) (816,10.508206367492676) (4944,10.493864059448242) (1568,10.473599433898926) (1551,10.39937973022461) (6014,10.318384170532227) (1541,10.29588794708252) (3812,10.20224666595459) (6027,10.200051307678223) (1192,10.197113990783691) (831,10.142477035522461) (2192,10.138107299804688) (1557,10.123546600341797)* (1547,10.113868713378906) (1099,10.083907127380371)
350: (292,9.550637245178223)* (340,9.483772277832031)* (701,9.468825340270996)* (289,9.44436264038086)* (288,9.137726783752441)* (299,9.08987045288086) (302,8.860542297363281) (523,8.849629402160645) (318,8.726874351501465) (915,8.670655250549316) (294,8.562417030334473) (535,8.551033973693848) (679,8.509883880615234) (320,8.506509780883789) (300,8.501362800598145)* (543,8.485095977783203) (913,8.463540077209473) (5533,8.42171859741211) (674,8.419379234313965) (352,8.34330940246582)*
351: (498,12.46755313873291)* (1246,12.075240135192871) (691,12.021753311157227) (1043,11.15903091430664) (481,11.12427806854248) (464,11.118478775024414) (1047,10.770894050598145)* (461,10.50635051727295) (466,10.478456497192383) (470,10.452980041503906) (89,10.446078300476074) (289,10.359305381774902) (680,10.350454330444336) (4716,10.222460746765137) (499,10.204917907714844)* (542,10.1112699508667) (540,10.032315254211426) (288,9.977618217468262) (342,9.846231460571289) (528,9.769889831542969)
352: (679,9.102326393127441)* (292,8.916500091552734)* (466,8.880133628845215)* (298,8.83109188079834) (461,8.808802604675293) (291,8.714517593383789) (55,8.589751243591309) (525,8.559065818786621) (1934,8.49107551574707) (157,8.445696830749512) (329,8.439552307128906) (903,8.411258697509766) (65,8.324222564697266) (65,8.324222564697266) (320,8.235259056091309) (310,8.104533195495605) (2020,8.046892166137695)* (190,8.01551342010498) (1243,7.898277759552002) (523,7.885934829711914)
353: (314,11.287900924682617)* (475,10.95536994934082) (317,10.755796432495117) (320,10.399200439453125) (349,10.29086971282959)* (328,10.004561424255371) (2179,9.933514595031738) (907,9.706572532653809) (89,9.574390411376953)* (1444,9.523338317871094) (1613,9.5032958984375)* (299,9.450067520141602) (329,9.447760581970215) (302,9.36944580078125) (301,9.351901054382324) (310,9.3425874710083) (330,9.244123458862305) (525,9.207239151000977) (543,9.155380249023438) (1032,9.008811950683594)
354: (701,9.346357345581055)* (288,9.304624557495117)* (328,9.210737228393555) (161,9.202109336853027) (289,9.111246109008789)* (292,8.869614601135254)* (306,8.734128952026367) (302,8.567475318908691) (320,8.528353691101074) (291,8.461236000061035) (1009,8.45226001739502) (972,8.424661636352539) (912,8.405679702758789) (523,8.374918937683105) (674,8.318495750427246) (352,8.213101387023926) (310,8.162954330444336) (374,8.11473274230957) (71,8.043562889099121) (71,8.043562889099121)
355: (488,12.263328552246094) (498,11.949048042297363) (191,11.777783393859863)* (378,11.691208839416504) (209,11.540382385253906) (230,11.425021171569824) (3859,11.328356742858887) (538,11.268050193786621) (497,11.229010581970215) (540,11.175640106201172) (333,11.038323402404785) (371,10.9974365234375)* (536,10.544398307800293) (2607,10.420953750610352)* (1179,10.369544982910156) (499,10.368366241455078) (229,10.243658065795898) (291,10.179055213928223) (475,10.145792961120605) (3427,10.074991226196289)
356: (2210,11.097097396850586)* (4168,10.554947853088379) (825,10.310137748718262) (1196,10.221857070922852)* (5134,10.21640682220459) (5132,10.209355354309082) (5143,10.19892692565918) (2204,10.194148063659668) (16411,10.158852577209473) (5139,10.148138046264648) (816,10.121811866760254) (5146,10.114533424377441) (5144,10.105049133300781) (5127,10.073590278625488) (5133,10.059592247009277) (5136,10.052105903625488) (5145,10.04234504699707) (1185,10.033557891845703) (5067,10.008207321166992) (5128,9.969122886657715)
357: (757,10.669703483581543) (170,10.188217163085938) (56,10.16399097442627) (56,10.16399097442627) (1155,9.991044998168945)* (84,9.794042587280273)* (2535,9.791704177856445) (703,9.564908981323242)* (416,9.436788558959961) (418,9.412920951843262) (203,9.01391315460205) (432,8.980955123901367) (7324,8.964848518371582) (1986,8.941383361816406) (2531,8.899526596069336) (1101,8.84511947631836) (1090,8.832948684692383) (199,8.799934387207031) (53,8.755207061767578) (53,8.755207061767578)
358: (238,13.407182693481445)* (418,13.378044128417969)* (2605,13.304574012756348)* (162,13.262042045593262)* (154,13.146087646484375) (1099,12.327899932861328) (757,12.29173755645752) (632,12.18282413482666) (56,12.104935646057129)* (56,12.104935646057129)* (1401,12.104538917541504) (107,12.066522598266602) (748,11.847712516784668) (2582,11.796895027160645)* (2716,11.685274124145508) (1983,11.671695709228516) (64,11.651700973510742) (64,11.651700973510742) (1700,11.586443901062012) (170,11.548336029052734)
359: (2469,13.71401309967041) (6150,13.494465827941895) (193,13.386993408203125) (3890,12.822453498840332) (2936,12.693714141845703)* (5833,12.60407829284668) (994,12.3800630569458) (1892,12.281262397766113) (99,12.155315399169922) (1027,12.085829734802246) (3264,12.067727088928223) (1891,12.056192398071289) (389,12.021224021911621) (3201,11.998882293701172) (1895,11.894781112670898) (1884,11.879107475280762) (905,11.699889183044434) (1079,11.655463218688965) (996,11.567224502563477) (4493,11.522208213806152)
360: (4126,16.701478958129883) (6150,16.011398315429688) (9353,15.51069164276123) (3876,15.203973770141602) (3426,15.138052940368652) (7029,15.024046897888184) (1715,14.958681106567383) (12288,14.95586109161377) (17513,14.937932968139648) (6056,14.937744140625) (17524,14.90706729888916) (17517,14.87749195098877) (17531,14.87718677520752) (17514,14.82221508026123) (17520,14.815159797668457) (73,14.80997085571289) (73,14.80997085571289) (9357,14.782916069030762) (15083,14.781758308410645) (17521,14.77901554107666)
361: (701,9.924007415771484)* (301,9.39155101776123) (288,9.33924388885498)* (306,9.124603271484375) (311,9.113468170166016) (310,9.103835105895996)* (314,9.05905532836914) (326,8.781042098999023) (300,8.64024829864502) (543,8.62336254119873) (333,8.572504043579102)* (265,8.559258460998535) (461,8.508281707763672)* (325,8.377808570861816) (679,8.254655838012695) (329,8.1942720413208) (323,8.158384323120117) (1032,8.120428085327148) (466,8.114118576049805) (161,8.05126667022705)
362: (498,11.72085952758789)* (220,11.6854248046875) (1045,11.353588104248047) (533,11.108126640319824) (424,10.930389404296875) (714,10.732518196105957)* (6121,10.63382339477539)* (209,10.625000953674316) (982,10.604544639587402) (439,10.495003700256348)* (6132,10.47028923034668) (1672,10.390568733215332) (366,10.230366706848145) (207,10.210269927978516) (1186,10.145983695983887) (1048,10.143477439880371) (3741,10.04919719696045) (4850,9.968911170959473) (683,9.902382850646973) (1241,9.845769882202148)*
363: (198,15.039042472839355) (1044,14.001465797424316) (1406,13.778006553649902) (978,13.762529373168945) (1145,13.671582221984863) (1091,13.58214282989502) (220,13.513642311096191) (500,13.471258163452148) (517,13.301400184631348) (488,13.25967025756836)* (1116,13.106732368469238) (1974,13.069790840148926) (412,12.57999038696289) (504,12.44503402709961) (226,12.279255867004395) (1854,12.198033332824707) (2661,12.150154113769531) (843,11.970016479492188) (209,11.818089485168457) (510,11.72408390045166)
364: (227,12.852331161499023)* (195,12.389330863952637) (217,12.308772087097168) (1239,12.209917068481445) (206,12.046868324279785) (199,12.016433715820312) (1242,11.885266304016113) (429,11.643550872802734) (222,11.428995132446289) (622,11.262466430664062) (609,11.230697631835938) (197,11.082476615905762) (2277,11.036506652832031) (1424,10.903944969177246) (436,10.818888664245605) (434,10.691221237182617) (5414,10.522522926330566) (533,10.457508087158203) (602,10.432435989379883) (599,10.423015594482422)
365: (6825,16.362043380737305) (6832,16.35605239868164) (6826,16.33732795715332) (879,16.24375343322754) (6834,16.234643936157227) (1221,15.94465160369873) (2475,15.918434143066406) (1708,15.90852165222168) (752,15.816888809204102) (5299,15.7031888961792) (1229,15.701656341552734) (9455,15.605810165405273) (2470,15.565570831298828) (748,15.4378662109375) (5851,15.400956153869629) (5872,15.396455764770508) (5853,15.389671325683594) (5867,15.389276504516602) (10672,15.375535011291504) (5863,15.375273704528809)
366: (206,12.153541564941406) (162,12.126550674438477) (632,12.042373657226562) (621,11.870140075683594) (2605,11.488934516906738) (6151,11.415177345275879) (2542,11.38300895690918) (1504,11.325032234191895) (6160,11.292580604553223) (6582,11.167102813720703) (107,11.166711807250977) (441,11.14276123046875) (197,11.093574523925781) (964,11.024212837219238) (616,10.955684661865234)* (238,10.693947792053223) (436,10.66884708404541) (203,10.623034477233887) (416,10.600090980529785) (4051,10.584124565124512)
367: (1186,12.460698127746582) (230,11.891332626342773) (486,11.112787246704102) (1246,10.97834300994873)* (190,10.416214942932129) (377,10.39724063873291) (234,10.391337394714355) (1672,10.303841590881348) (470,10.270872116088867) (537,10.1157808303833) (481,10.100729942321777) (1043,10.076679229736328) (6453,10.02719497680664) (198,10.011493682861328) (220,9.964326858520508) (1866,9.90372085571289) (228,9.894281387329102) (4375,9.872587203979492) (5310,9.816521644592285) (403,9.812174797058105)
368: (2531,10.671839714050293) (429,10.629112243652344) (620,10.406290054321289) (59,10.402031898498535) (441,10.329380989074707) (9727,10.243509292602539) (862,10.14480209350586) (8656,10.13501262664795) (6204,10.004744529724121)* (2541,10.00221061706543) (154,9.981183052062988) (84,9.812539100646973) (1888,9.786266326904297) (1164,9.643121719360352) (612,9.500420570373535) (615,9.482083320617676) (3279,9.47299575805664) (4064,9.471480369567871) (8672,9.445746421813965) (13888,9.433270454406738)
369: (217,12.380701065063477)* (898,12.33636474609375) (228,11.97815227508545) (199,11.520547866821289)* (1632,11.512292861938477) (1048,11.304024696350098)* (154,11.139270782470703) (1239,11.115799903869629) (1376,11.002606391906738) (615,10.928146362304688)* (430,10.922270774841309) (170,10.660446166992188) (190,10.658951759338379) (427,10.607372283935547) (227,10.595636367797852) (1390,10.463047981262207) (5027,10.394899368286133) (425,10.24210262298584) (3797,10.202349662780762) (223,10.115358352661133)
370: (190,14.789121627807617) (229,14.008431434631348) (182,13.570525169372559) (228,13.175005912780762) (173,12.856162071228027)* (227,12.827528953552246) (154,12.664487838745117)* (166,12.564165115356445) (159,12.482718467712402) (511,12.438009262084961)* (982,11.826034545898438) (3057,11.603513717651367) (316,11.596604347229004) (230,11.562811851501465) (1090,11.536786079406738) (220,11.435478210449219) (234,11.225000381469727) (217,11.172528266906738) (1048,11.128847122192383) (225,10.992011070251465)
371: (1061,11.302130699157715) (2747,11.241214752197266) (10430,11.054049491882324) (1713,10.912055969238281)* (880,10.908416748046875) (1075,10.754950523376465) (1072,10.473389625549316)* (7,10.440095901489258) (30,10.362593650817871) (187,10.273324966430664) (1786,10.243668556213379) (173,10.194737434387207) (407,10.092801094055176) (198,10.047883987426758) (868,9.992670059204102) (190,9.842872619628906) (2041,9.836012840270996) (1099,9.82365894317627) (3839,9.818635940551758) (3845,9.806015968322754)
372: (377,12.265419006347656)* (497,11.891148567199707) (518,11.830462455749512) (378,11.385973930358887) (371,11.367805480957031) (198,11.187644958496094) (6257,11.134075164794922) (726,10.924897193908691) (486,10.872281074523926) (1044,10.628684043884277) (930,10.607695579528809) (1179,10.557210922241211) (1672,10.556841850280762) (504,10.302755355834961) (1145,10.181050300598145) (230,10.035850524902344) (3240,10.015960693359375) (536,9.881301879882812) (472,9.837615966796875) (405,9.783425331115723)
375: (55,11.505433082580566) (701,11.166940689086914) (292,11.152091979980469)* (300,11.025415420532227)* (291,10.956491470336914)* (333,10.90382194519043) (298,10.86190128326416) (1243,10.852144241333008) (906,10.832691192626953) (306,10.638638496398926)* (323,10.577924728393555) (349,10.555817604064941) (157,10.553912162780762) (310,10.325763702392578) (466,10.3167724609375) (525,10.043113708496094) (328,9.977275848388672) (97,9.927069664001465)* (523,9.92105770111084) (257,9.915287017822266)
376: (1369,12.709446907043457)* (732,12.175699234008789) (2347,12.019734382629395) (1353,11.832979202270508) (1360,11.770995140075684) (706,11.718994140625) (1249,11.555105209350586) (1531,11.539215087890625) (1372,11.41993236541748) (10776,11.410140037536621) (1264,11.375593185424805) (724,11.362039566040039) (918,11.351848602294922) (1366,11.348950386047363) (2343,11.305350303649902) (2746,11.291297912597656) (954,11.267313957214355) (1412,11.155919075012207) (949,11.01916790008545) (868,11.016849517822266)
377: (812,13.551655769348145)* (843,13.295504570007324) (949,13.230413436889648) (920,13.006484985351562)* (198,12.440933227539062) (707,12.398951530456543) (841,12.236983299255371)* (947,12.176292419433594) (2379,12.161775588989258) (1274,12.08230209350586) (517,11.990327835083008) (370,11.925484657287598) (1044,11.901601791381836) (1104,11.724912643432617) (1547,11.445135116577148) (846,11.384590148925781) (1281,11.338024139404297) (837,11.240032196044922) (2744,10.961590766906738) (3717,10.699213981628418)
378: (511,11.489154815673828) (951,11.028715133666992)* (712,10.992636680603027) (868,10.899477005004883) (77,10.695744514465332)* (77,10.695744514465332)* (1414,10.574846267700195)* (192,10.500572204589844) (1464,10.479982376098633) (2183,10.300522804260254) (533,10.216209411621094)* (1415,10.191935539245605)* (599,10.031740188598633) (1122,9.987432479858398)* (2786,9.894049644470215) (1810,9.710556983947754) (155,9.337048530578613) (1416,9.323404312133789) (562,9.31185531616211)* (2783,9.28129768371582)
380: (320,11.140515327453613)* (295,10.754984855651855)* (290,10.438315391540527) (644,10.408904075622559) (310,10.361007690429688) (288,10.208806037902832)* (701,10.134084701538086) (301,10.053818702697754) (306,9.893598556518555) (326,9.880059242248535)* (386,9.870810508728027) (309,9.818364143371582) (328,9.688299179077148) (484,9.678363800048828) (291,9.616921424865723)* (302,9.616697311401367) (289,9.590080261230469)* (541,9.418717384338379) (908,9.297683715820312)* (907,9.135077476501465)
382: (1952,12.059576034545898) (1963,11.756697654724121) (617,11.69986343383789) (271,11.471920013427734) (3357,11.414758682250977) (1613,11.318452835083008) (2252,11.31633186340332) (547,11.292549133300781) (2247,11.071525573730469) (4586,11.012094497680664) (278,10.87913703918457) (267,10.787975311279297) (527,10.713455200195312) (2921,10.625640869140625) (4585,10.622550964355469) (2923,10.580181121826172)* (2698,10.54526424407959)* (249,10.394805908203125) (1640,10.368122100830078) (3317,10.341753959655762)
383: (228,13.501399993896484) (298,12.479204177856445) (1246,12.47289752960205) (430,12.470378875732422) (173,12.442537307739258) (546,12.032278060913086)* (1048,11.9351806640625) (89,11.89975643157959) (316,11.840983390808105) (1400,11.802961349487305) (1090,11.802337646484375)* (689,11.796579360961914) (533,11.729557991027832) (1375,11.710100173950195) (3057,11.701547622680664) (486,11.695777893066406) (903,11.542698860168457) (207,11.510397911071777) (1243,11.447684288024902) (378,11.391180992126465)
385: (333,12.725985527038574)* (498,12.659343719482422)* (538,11.835329055786133) (289,11.576663970947266)* (1047,11.26295280456543) (701,11.095538139343262) (306,10.841095924377441)* (378,10.674962043762207) (295,10.542318344116211) (481,10.458938598632812) (458,10.430968284606934) (377,10.424188613891602)* (321,10.376847267150879)* (209,10.331271171569824) (298,10.320979118347168) (681,10.228961944580078)* (293,10.187112808227539) (342,10.133442878723145) (540,10.043037414550781) (2020,10.029231071472168)
386: (1803,11.46821117401123) (1810,11.301372528076172) (952,11.185746192932129) (951,10.871822357177734) (2787,10.642541885375977) (10853,10.38703727722168) (2797,10.29014778137207) (6292,10.288723945617676) (396,10.27103042602539) (10852,10.257715225219727) (1249,10.106913566589355) (2343,10.055066108703613) (2785,9.93996810913086) (3095,9.80894660949707) (1857,9.741337776184082) (3427,9.730079650878906) (724,9.718806266784668) (707,9.605268478393555)* (234,9.597004890441895) (230,9.516334533691406)*
387: (331,11.055891036987305) (1613,11.029701232910156)* (1402,10.811769485473633) (2179,10.627647399902344) (4617,10.578943252563477) (3317,10.536580085754395) (314,10.385180473327637) (475,10.36584186553955) (3318,10.162802696228027) (913,10.10682487487793) (1935,9.990567207336426) (484,9.8915433883667) (239,9.796346664428711) (317,9.689428329467773) (547,9.64838981628418) (322,9.520966529846191) (4566,9.518970489501953) (320,9.451114654541016) (330,9.42258071899414) (6562,9.349752426147461)
388: (518,13.434524536132812)* (936,11.371070861816406) (1339,11.243524551391602) (955,10.664107322692871)* (5605,10.510587692260742) (25,10.442841529846191) (2975,10.324186325073242) (1114,10.311178207397461) (812,10.021198272705078) (957,9.969952583312988) (2446,9.942208290100098)* (917,9.876626968383789) (920,9.872052192687988) (189,9.820037841796875) (389,9.687681198120117) (937,9.676082611083984) (3426,9.67445182800293) (198,9.542681694030762) (5076,9.54067611694336) (966,9.465614318847656)
390: (295,8.971152305603027)* (320,8.786629676818848) (349,8.586446762084961) (461,8.174843788146973)* (257,8.12177848815918)* (544,7.930464267730713) (525,7.865143775939941) (328,7.816422462463379)* (325,7.768704414367676) (523,7.732987880706787)* (318,7.731468677520752) (310,7.715757846832275) (329,7.692355155944824) (301,7.686724662780762) (1452,7.681316375732422) (161,7.521843910217285) (352,7.497691631317139) (1037,7.477599620819092)* (913,7.4377546310424805) (908,7.428078651428223)
391: (500,12.340189933776855) (1853,12.20746898651123) (488,12.00300121307373)* (1188,11.511215209960938) (768,11.46374225616455) (497,11.228257179260254) (4173,11.181291580200195) (816,11.024459838867188)* (2619,10.963873863220215) (209,10.905269622802734) (540,10.46629810333252) (405,10.271692276000977) (1185,10.194375991821289) (1672,10.102405548095703) (537,10.076324462890625) (536,10.067211151123047) (1183,9.954570770263672) (498,9.953707695007324)* (7724,9.912094116210938) (2062,9.890138626098633)
392: (1243,11.41474723815918) (291,11.31929874420166)* (3081,11.204951286315918) (1556,10.490243911743164) (298,10.48581314086914) (344,10.252705574035645)* (311,10.242643356323242) (97,10.182121276855469) (289,10.158321380615234)* (300,10.067405700683594) (680,10.009099960327148) (498,9.92016315460205)* (3110,9.741662979125977) (430,9.740428924560547) (305,9.664731979370117) (701,9.664312362670898) (697,9.64024543762207) (67,9.596718788146973)* (67,9.596718788146973)* (1246,9.554173469543457)
393: (1246,13.299501419067383) (230,13.089040756225586) (159,12.432190895080566) (220,12.401691436767578) (533,12.280377388000488) (228,12.262977600097656) (229,11.718957901000977) (1244,11.705310821533203) (982,11.696002960205078) (498,11.673662185668945) (1249,11.607625961303711) (706,11.565529823303223) (65,11.489226341247559)* (65,11.489226341247559)* (868,11.474632263183594) (1048,11.460411071777344) (718,11.44620418548584) (424,11.397948265075684) (1513,11.300786972045898) (217,11.22244644165039)
394: (10418,10.984102249145508) (1755,10.968718528747559) (366,10.791380882263184) (1761,10.690267562866211) (227,10.283954620361328) (220,10.243330955505371) (6137,10.195818901062012) (714,10.125494003295898) (439,10.016815185546875) (705,9.746227264404297) (3741,9.625933647155762) (1768,9.429994583129883) (533,9.414995193481445) (2988,9.34798812866211) (3391,9.31606388092041) (5441,9.31037425994873) (6722,9.26050853729248) (5099,9.133235931396484) (3747,9.069747924804688) (5268,9.009058952331543)
395: (707,11.882587432861328) (923,11.802553176879883) (846,11.213128089904785)* (2744,10.984241485595703) (841,10.889704704284668)* (953,10.731308937072754) (503,10.695883750915527)* (918,10.666232109069824)* (949,10.42187213897705) (1547,10.406234741210938)* (3717,10.391462326049805) (1360,10.374441146850586)* (1104,10.139204978942871)* (25,10.129573822021484) (1406,10.0564546585083) (815,10.05544662475586)* (383,9.947478294372559) (1527,9.94388484954834) (854,9.887598991394043) (812,9.86254596710205)
396: (69,14.311314582824707) (69,14.311314582824707) (187,13.656566619873047) (51,13.287670135498047) (77,13.141190528869629) (77,13.141190528869629) (63,13.046507835388184) (63,13.046507835388184) (3992,12.714259147644043) (463,12.411672592163086) (3302,12.375596046447754) (183,12.321846008300781) (3674,12.128650665283203) (1122,12.07229232788086) (245,12.05758285522461) (10076,12.044246673583984) (511,12.044098854064941) (1009,11.95888900756836) (1001,11.932605743408203) (1076,11.912242889404297)
397: (72,14.206607818603516)* (72,14.206607818603516)* (450,12.820570945739746) (159,12.631233215332031) (1075,12.612143516540527) (1713,12.1060209274292)* (173,11.842841148376465) (1072,11.479331970214844) (1298,11.469866752624512) (880,11.266199111938477) (1098,11.147309303283691) (190,10.996318817138672)* (238,10.984333038330078) (1707,10.963384628295898) (1886,10.715871810913086) (1714,10.681526184082031) (36,10.625280380249023) (166,10.45682430267334) (187,10.414037704467773) (233,10.407654762268066)
